,H_name,A_name,H_GoalsScored,A_GoalsScored,H_GoalsConceded,A_GoalsConceded,H_Points,A_Points,H_Results1,H_Results2,H_Results3,A_Results1,A_Results2,A_Results3,H_Shots1,H_Shots2,A_Shots1,A_Shots2,H_ShotsTarget1,H_ShotsTarget2,A_ShotsTarget1,A_ShotsTarget2,H_Red1,A_Red1,H_Corners1,H_Corners2,A_Corners1,A_Corners2,H_LastPosition,A_LastPosition,MatchDay,Result
788,Aston Villa,Leicester,1,3,2,4,1,1,D,L,M,L,D,M,14,9,5,12,9,5,1,7,0,2,8,9,2,2,16,19,3,H
2101,Charlton,Aston Villa,15,22,35,23,13,25,D,L,L,L,L,L,12,8,9,11,7,6,7,3,0,0,4,4,4,6,13,16,21,H
3648,Wolves,Liverpool,24,27,38,31,21,26,L,W,L,D,L,L,10,3,19,10,7,2,14,6,0,0,8,4,10,3,15,7,23,A
4616,Tottenham,Chelsea,5,6,1,2,12,10,W,W,L,W,L,D,29,23,26,22,12,7,10,5,0,0,12,8,13,7,5,3,6,D
3434,West Brom,Sunderland,0,2,6,2,0,1,L,M,M,D,M,M,10,0,6,0,4,0,2,0,0,1,1,0,3,0,19,13,2,H
6067,Man City,West Brom,72,41,38,46,72,45,W,W,D,L,D,L,17,26,7,11,5,12,2,3,0,0,9,9,5,8,5,14,37,H
666,Aston Villa,Birmingham,31,25,32,41,35,29,L,L,W,W,L,L,13,8,5,7,6,5,2,6,0,0,6,5,2,7,8,19,29,A
227,Charlton,Aston Villa,28,29,28,27,29,32,L,W,W,W,D,D,9,13,9,8,6,8,5,4,1,0,2,11,4,0,9,8,23,A
6632,Bournemouth,Brighton,25,20,28,24,23,21,L,L,W,L,L,W,13,8,6,14,3,2,2,1,0,0,3,6,4,7,11,15,18,H
704,Liverpool,Fulham,47,35,35,44,52,38,L,W,W,L,L,D,5,19,9,11,1,11,4,6,1,0,4,4,3,5,2,13,33,H
4994,Liverpool,Everton,7,11,8,13,6,5,L,L,W,L,W,L,11,18,17,11,5,1,6,4,0,0,5,7,7,1,2,5,6,D
3330,Liverpool,Portsmouth,45,25,29,51,48,19,L,W,D,L,L,W,11,12,7,11,3,6,3,8,0,0,7,4,4,5,2,15,30,H
2482,Man United,Birmingham,37,22,11,31,45,19,L,W,W,D,W,L,7,17,15,13,3,11,6,5,0,0,3,3,8,12,1,19,21,H
2790,Chelsea,Newcastle,32,17,4,22,32,13,W,W,W,D,L,W,15,18,17,13,9,13,9,7,0,0,10,9,4,1,2,12,14,D
2136,Arsenal,Man United,43,52,19,16,42,57,W,W,L,W,D,W,6,16,27,20,4,10,17,8,1,0,2,8,8,10,4,2,24,H
660,Fulham,Sunderland,32,19,35,45,34,19,D,W,W,L,L,L,8,12,7,8,7,8,4,6,1,0,7,2,4,8,13,17,29,H
6078,Swansea,West Brom,43,42,69,49,38,45,W,W,D,L,L,D,3,9,5,7,3,4,2,2,0,0,4,9,1,5,12,14,38,H
2142,West Ham,Liverpool,17,37,38,16,20,46,D,D,L,W,W,W,12,10,17,22,7,7,8,13,0,0,2,8,3,12,9,3,25,A
3790,Aston Villa,Liverpool,47,59,59,43,45,58,W,D,L,L,W,W,8,10,10,16,5,7,2,11,0,0,2,2,11,5,6,7,38,H
2282,Derby,Portsmouth,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,1,D
2632,Man City,Fulham,42,32,41,58,55,27,W,W,L,L,W,L,16,7,10,16,10,5,6,8,0,0,6,2,3,7,14,16,36,A
1594,Man City,Everton,7,1,6,9,11,3,L,L,D,L,L,L,8,17,5,14,4,8,4,7,0,0,6,7,2,11,8,4,8,H
1697,Arsenal,Portsmouth,23,13,15,26,29,13,W,L,L,W,L,L,18,7,5,8,11,5,4,5,0,0,10,5,6,3,2,16,18,H
3668,Stoke,Sunderland,28,28,30,24,30,37,L,L,W,W,D,W,6,9,11,10,1,1,6,7,0,0,0,2,4,4,11,13,25,H
1859,Charlton,Portsmouth,37,30,42,55,44,29,D,D,W,D,D,W,9,8,10,22,4,2,4,12,0,0,6,8,3,7,11,16,34,H
3756,Blackburn,Man City,40,51,54,30,35,59,L,D,D,W,L,W,4,15,10,13,2,5,5,4,0,0,1,8,6,2,9,5,34,A
4788,Sunderland,Stoke,21,22,36,36,18,22,D,W,L,L,L,D,10,10,17,13,5,6,2,4,0,0,4,6,3,11,17,13,23,H
523,Man United,Newcastle,18,23,13,22,23,22,D,L,W,L,W,L,11,9,10,18,4,6,7,13,0,0,6,9,1,6,3,4,15,H
3583,Stoke,Blackpool,21,24,21,29,21,22,D,D,W,W,D,W,11,16,10,16,7,9,5,10,0,0,4,6,4,4,11,19,17,A
6410,Tottenham,Man City,65,93,30,25,67,87,L,W,W,W,L,W,8,15,17,20,3,4,6,6,0,0,5,3,7,8,2,3,34,A
5494,Man City,Sunderland,33,18,19,33,32,12,L,W,L,L,L,L,20,13,11,14,6,5,3,2,0,0,8,5,2,8,2,17,18,H
3235,Portsmouth,Arsenal,17,51,28,21,14,41,L,W,L,W,W,W,11,14,14,19,7,6,10,12,0,0,4,8,10,10,15,4,20,A
1561,Newcastle,Fulham,0,3,6,6,1,4,L,L,D,W,L,L,9,7,9,8,4,4,4,3,0,0,5,3,6,7,14,13,5,D
1238,Southampton,Birmingham,6,7,12,9,5,8,L,D,L,D,D,D,8,16,14,10,4,11,6,6,0,0,6,6,3,6,12,10,10,D
962,Fulham,Everton,31,24,28,26,28,24,L,L,W,D,W,L,9,9,8,16,4,3,4,6,0,0,1,3,5,5,13,7,21,H
4756,Stoke,Everton,18,31,29,18,21,37,L,L,W,W,L,W,2,11,9,26,1,3,4,9,0,0,1,2,2,11,13,6,20,D
3849,Arsenal,Bolton,3,7,10,11,4,3,W,L,L,L,L,L,18,19,20,7,8,13,13,4,0,0,4,5,5,6,4,12,5,H
6623,Man City,Everton,45,23,9,19,41,24,L,W,W,D,D,L,14,15,12,19,4,7,5,3,0,0,13,11,6,14,1,8,17,H
