,Date,H_name,A_name,H_GoalsScored,A_GoalsScored,H_GoalsConceded,A_GoalsConceded,H_Points,A_Points,H_Results1,H_Results2,H_Results3,A_Results1,A_Results2,A_Results3,H_Shots1,H_Shots2,A_Shots1,A_Shots2,H_ShotsTarget1,H_ShotsTarget2,A_ShotsTarget1,A_ShotsTarget2,H_Red1,A_Red1,H_Corners1,H_Corners2,A_Corners1,A_Corners2,H_LastPosition,A_LastPosition,MatchDay,Result
0,2001-08-18,Charlton,Everton,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,1,A
1,2001-08-18,Derby,Blackburn,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,1,H
2,2001-08-18,Leeds,Southampton,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,1,H
3,2001-08-18,Leicester,Bolton,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,1,A
4,2001-08-18,Liverpool,West Ham,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1,H
5,2001-08-18,Middlesbrough,Arsenal,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,1,A
6,2001-08-18,Sunderland,Ipswich,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,H
7,2001-08-18,Tottenham,Aston Villa,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,1,D
8,2001-08-19,Chelsea,Newcastle,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,1,D
9,2001-08-19,Man United,Fulham,0,0,0,0,0,0,M,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,H
10,2001-08-20,Everton,Tottenham,2,0,1,0,3,1,W,M,M,D,M,M,12,0,8,0,9,0,2,0,0,0,4,0,6,0,15,12,2,D
11,2001-08-21,Arsenal,Leeds,4,2,0,0,3,3,W,M,M,W,M,M,14,0,16,0,9,0,6,0,1,0,6,0,10,0,2,4,2,A
12,2001-08-21,Bolton,Middlesbrough,5,0,0,4,3,0,W,M,M,L,M,M,18,0,6,0,8,0,2,0,0,1,5,0,2,0,19,14,2,H
13,2001-08-21,Ipswich,Derby,0,2,1,1,0,3,L,M,M,W,M,M,10,0,7,0,4,0,3,0,0,0,1,0,4,0,5,16,2,H
14,2001-08-22,Blackburn,Man United,1,3,2,2,0,3,L,M,M,W,M,M,14,0,12,0,4,0,6,0,0,0,10,0,6,0,19,1,2,D
15,2001-08-22,Fulham,Sunderland,2,1,3,0,0,3,L,M,M,W,M,M,8,0,12,0,5,0,6,0,0,0,4,0,1,0,19,7,2,H
16,2001-08-25,Arsenal,Leicester,4,0,0,5,3,0,W,M,M,L,M,M,14,0,6,0,9,0,1,0,1,0,6,0,3,0,2,13,2,H
17,2001-08-25,Blackburn,Tottenham,1,0,2,0,0,1,L,M,M,D,M,M,14,0,8,0,4,0,2,0,0,0,10,0,6,0,19,12,2,H
18,2001-08-25,Everton,Middlesbrough,2,0,1,4,3,0,W,M,M,L,M,M,12,0,6,0,9,0,2,0,0,1,4,0,2,0,15,14,2,H
19,2001-08-25,Fulham,Derby,2,2,3,1,0,3,L,M,M,W,M,M,8,0,7,0,5,0,3,0,0,0,4,0,4,0,19,16,2,D
20,2001-08-25,Ipswich,Charlton,3,2,2,2,3,3,W,L,M,W,L,M,30,10,13,8,18,4,6,4,0,0,19,1,1,4,5,9,3,A
21,2001-08-25,Southampton,Chelsea,0,3,4,1,0,4,L,L,M,W,D,M,8,11,7,13,2,6,2,8,0,0,6,3,2,12,10,6,3,A
22,2001-08-25,West Ham,Leeds,1,4,2,1,1,6,D,L,M,W,W,M,11,3,5,16,3,3,2,6,0,2,5,3,2,10,17,4,3,D
